                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0872,                0.76375,                 1.0691,                0.69968,                0.94708,                0.87527,                0.65236,                 1.0267,                0.94782,                 1.0027,             0.00022219,             0.00022219,             0.00022219
                     35,                 1.0613,                 0.7571,                 1.0421,                0.74203,                0.91667,                0.87362,                 0.6549,                 1.0147,                0.93724,                0.99232,             0.00022556,             0.00022556,             0.00022556
                     36,                 1.1378,                0.83509,                 1.0861,                0.74203,                0.91667,                0.87362,                 0.6549,                 1.0147,                0.93724,                0.99232,             0.00022873,             0.00022873,             0.00022873
                     37,                 1.0469,                 0.8979,                 1.0434,                 0.7859,                0.91713,                0.86669,                0.63652,                 1.0145,                0.96078,                 0.9926,              0.0002317,              0.0002317,              0.0002317
                     38,                 1.1071,                0.86914,                 1.0738,                 0.7859,                0.91713,                0.86669,                0.63652,                 1.0145,                0.96078,                 0.9926,             0.00023447,             0.00023447,             0.00023447
                     39,                 1.0546,                0.82765,                 1.0416,                0.78216,                0.93745,                0.88804,                0.63939,                 1.0353,                0.90716,                 1.0071,             0.00023704,             0.00023704,             0.00023704
                     40,                 1.0618,                 0.7668,                 1.0548,                0.78216,                0.93745,                0.88804,                0.63939,                 1.0353,                0.90716,                 1.0071,             0.00023942,             0.00023942,             0.00023942
                     41,                 1.1047,                 0.8228,                 1.0569,                0.81158,                0.96731,                 0.9121,                0.65703,                 1.0567,                0.88313,                 1.0245,              0.0002416,              0.0002416,              0.0002416
                     42,                 1.0398,                0.77987,                 1.1146,                0.81158,                0.96731,                 0.9121,                0.65703,                 1.0567,                0.88313,                 1.0245,             0.00024358,             0.00024358,             0.00024358
                     43,                  1.059,                0.71691,                 1.0897,                0.84359,                0.98833,                0.91806,                0.66607,                 1.0617,                 0.9334,                 1.0326,             0.00024536,             0.00024536,             0.00024536
                     44,                 1.0241,                0.75377,                 1.0828,                0.84359,                0.98833,                0.91806,                0.66607,                 1.0617,                 0.9334,                 1.0326,             0.00024695,             0.00024695,             0.00024695
                     45,                 1.0262,                0.80876,                 1.0744,                 0.8434,                0.99934,                0.91907,                0.68494,                 1.0452,                0.86357,                 1.0273,             0.00024834,             0.00024834,             0.00024834
                     46,                 1.0697,                0.80026,                 1.1278,                 0.8434,                0.99934,                0.91907,                0.68494,                 1.0452,                0.86357,                 1.0273,             0.00024952,             0.00024952,             0.00024952
                     47,                  1.018,                0.66058,                 1.0503,                0.84576,                0.99434,                0.91868,                0.68933,                 1.0425,                 0.7329,                 1.0191,             0.00025052,             0.00025052,             0.00025052
                     48,                 1.0222,                0.68707,                 1.0468,                0.84576,                0.99434,                0.91868,                0.68933,                 1.0425,                 0.7329,                 1.0191,             0.00025131,             0.00025131,             0.00025131
                     49,                 1.0438,                0.78204,                 1.0092,                0.87019,                      1,                0.91961,                0.68711,                 1.0562,                0.68628,                 1.0256,              0.0002519,              0.0002519,              0.0002519
                     50,                0.99716,                0.77917,                  1.066,                0.87019,                      1,                0.91961,                0.68711,                 1.0562,                0.68628,                 1.0256,              0.0002523,              0.0002523,              0.0002523
                     51,                 1.0092,                0.68311,                 1.0431,                0.87479,                0.98236,                 0.9203,                0.67527,                 1.0488,                0.67289,                 1.0222,              0.0002525,              0.0002525,              0.0002525
                     52,                 1.0145,                0.72136,                 1.0398,                0.87479,                0.98236,                 0.9203,                0.67527,                 1.0488,                0.67289,                 1.0222,              0.0002525,              0.0002525,              0.0002525
